Info 1	Info 2	GSM194459	GSM194460	GSM194461	GSM194462	GSM194463	GSM194464	GSM194465	GSM194466	GSM194467	GSM194468	GSM194469	GSM194470	GSM194471	GSM194472	GSM194473	GSM194474	GSM194475	GSM194476	GSM194477	GSM194478	GSM194479	GSM194480	GSM194481	GSM194482	GSM194483	GSM194484	GSM194485	GSM194486	GSM194487	GSM194488	GSM194489	GSM194490	GSM194491	GSM194492	GSM194493	GSM194494	GSM194495	GSM194496	GSM194497	GSM194498	GSM194499	GSM194500	GSM194501	GSM194502	GSM194503	GSM194504	GSM194505	GSM194506	GSM194507	GSM194508	GSM194509	GSM194510	GSM194511	GSM194512	GSM194513	GSM194514	GSM194515	GSM194516	GSM194517	GSM194518	GSM194519	GSM194520	GSM194521	GSM194522	GSM194523	GSM194524	GSM194525	GSM194526	GSM194527	GSM194528	GSM194529	GSM194530	GSM194531	GSM194532	GSM194533	GSM194534	GSM194535	GSM194536	GSM194537	GSM194538	GSM194539	GSM194540	GSM194541	GSM194542	GSM194543	GSM194544	GSM194545	GSM194546	GSM194547	GSM194548	GSM194549	GSM194550	GSM194551	GSM194552	GSM194553	GSM194554
110453	IL4I1	2398.49	1891.71	2230.69	392.176	2104.7	395.078	422.247	175.898	364.828	241.485	628.178	801.287	528.118	318.645	234.234	499.441	305.206	220.378	581.935	380.006	784.506	158.883	1074.27	284.76	377.797	294.92	387.753	1108.99	962.305	812.203	1793.52	1734.59	1969.64	953.561	733.23	471.429	880.296	1375.17	1168.43	1085.74	1241.35	1218.08	1030.15	1039.99	1026.64	784.679	577.068	815.235	3043.14	2492.36	3591.34	540.91	355.604	204.842	3866.77	1857.6	1239.35	803.566	1507.64	786.196	398.035	284.74	272.999	1606.46	1318.16	1048.97	828.831	644.706	2363.18	313.944	335.484	781.522	4165.96	749.371	1711.08	930.718	864.376	373.717	443.838	170.923	636.159	580.668	988.855	1200.07	863.548	810.95	892.702	597.572	499.28	714.436	642.858	539.053	1008.3	538.92	843.315	858.548
105554	ACMSD	19216.7	18731.0	16514.7	609.406	705.895	540.717	49102.9	50186.0	45493.0	432.601	778.7	274.102	852.13	481.009	517.894	421.723	616.161	444.484	702.855	283.328	764.079	723.465	440.174	1162.86	364.804	741.667	653.579	365.038	649.876	309.639	368.946	460.63	450.362	388.285	369.922	326.812	445.192	393.796	458.224	420.903	206.425	370.518	402.573	329.834	962.734	791.436	485.712	743.097	368.735	273.167	841.052	410.143	877.964	986.823	385.082	515.698	552.96	268.528	728.059	472.537	57397.8	61299.5	61450.6	18057.8	20419.1	20577.7	387.847	388.416	246.739	545.359	435.14	531.469	1697.77	411.286	235.848	196.073	406.106	300.587	603.135	267.741	633.495	464.117	623.84	643.016	583.341	883.914	461.059	454.682	422.386	380.704	454.081	631.371	625.595	258.591	403.906	360.649
161752	QPRT	78168.1	76300.1	93350.9	7948.4	8058.94	7614.72	141958.0	139255.0	128324.0	39516.8	39752.7	41384.2	11029.7	9123.56	9080.82	3639.5	3766.51	4184.99	5697.44	6351.66	6550.13	3702.91	3269.71	3371.26	25468.5	27746.0	26357.0	13609.3	14262.4	14932.9	5379.44	5261.87	5377.34	6707.47	6165.61	6982.76	36841.1	36354.3	33454.0	31629.8	32672.0	32608.9	4273.65	3629.27	3558.59	21375.4	21469.5	20137.7	1933.33	2194.83	2255.0	21910.4	25587.1	24269.3	12334.2	12320.4	14065.1	10138.4	11254.3	10877.3	46006.0	47629.0	53038.2	65428.8	65281.4	63886.2	42284.1	42264.5	45409.4	3577.71	4815.3	4817.0	11622.5	8572.69	8262.86	14237.0	13922.5	18074.9	7421.24	7681.85	7677.19	14431.1	13651.7	16933.9	74345.5	70645.6	72146.0	5494.97	6302.14	6631.8	3333.84	3445.07	4117.2	29179.1	29170.7	26990.5
207186	KYNU	16544.7	17761.7	18208.5	10878.9	10470.3	9693.62	61391.0	56874.8	54474.9	50326.2	47443.4	42229.4	666.759	1347.34	1346.76	1450.92	704.891	953.406	1089.65	1505.87	2718.41	642.907	467.943	345.16	232.156	493.344	962.912	1295.79	1167.47	1699.35	9038.85	8337.07	9564.29	4729.63	3602.99	5183.69	547.373	823.715	524.44	948.664	1135.48	1241.77	4222.65	2878.64	3612.7	765.038	918.871	790.525	20583.0	19738.7	17330.7	488.208	470.08	2737.85	2539.5	2198.25	2462.73	4781.53	4931.99	5453.61	10583.4	2894.22	10177.7	2378.01	2483.52	2766.54	17995.2	18178.2	18198.7	2463.61	1250.6	1339.11	500.811	268.826	1105.23	289.79	592.086	1549.87	6933.09	6157.44	7108.91	6821.83	9146.82	9297.92	2365.78	2895.82	2987.53	3629.27	3255.79	3290.59	33204.6	36317.9	37694.3	1496.48	1518.78	1616.88
203613	AFMID	11300.1	8958.82	10611.1	1987.41	2811.17	2916.41	15853.7	16366.6	15912.3	4950.82	4910.2	5613.59	5920.08	5442.46	4818.86	4084.25	3635.98	3744.89	2533.83	2781.05	3081.66	3147.3	3136.36	3068.03	4012.73	4221.73	3312.44	5193.43	5551.24	5687.22	2814.67	2299.96	2690.91	4149.15	3284.84	3248.2	2920.84	2779.42	3428.8	3205.39	2665.0	3184.76	1750.46	1570.93	1781.27	3343.93	4265.47	4490.89	1334.3	1549.43	1261.28	4572.27	5406.18	5284.37	3883.47	731.049	417.91	1531.65	957.228	451.303	6043.29	7052.18	7300.84	5103.85	3978.0	5407.26	3234.67	1089.85	1927.87	1887.66	1581.84	2169.56	9587.11	8070.77	6774.9	1808.18	2887.53	2663.95	3483.27	3612.98	2361.57	1140.15	2227.93	2509.78	1320.84	1877.3	1051.21	2005.21	1951.95	2181.94	1980.53	1947.1	2366.66	2416.54	2550.17	2978.82
198663	TPH2	366.777	718.653	618.851	292.582	447.239	332.83	189.206	334.448	234.506	259.309	366.692	359.321	312.71	202.022	385.082	282.442	514.135	475.584	525.448	361.273	290.307	696.774	483.732	416.871	858.548	539.845	1046.51	226.763	726.93	252.483	342.418	312.71	258.136	286.147	224.127	351.163	446.309	379.586	509.683	429.48	536.701	472.288	419.481	592.48	392.31	385.57	242.289	262.201	163.496	368.265	224.897	191.981	745.047	355.708	723.343	415.839	397.986	341.398	249.515	201.534	248.898	307.093	321.417	320.78	268.033	314.666	597.225	153.396	670.228	311.575	394.035	395.265	582.998	254.924	734.651	292.2	365.996	413.795	240.2	277.008	519.495	281.716	645.906	308.274	343.331	382.304	974.344	256.606	430.343	437.953	223.906	378.781	234.185	226.132	222.909	333.966
214773	MAOB	168389.0	158268.0	178086.0	76753.5	86979.8	99231.1	294867.0	297528.0	287407.0	6975.67	7851.58	6603.95	227102.0	216500.0	232813.0	24330.9	25653.3	25094.8	72317.8	64273.7	66412.9	131295.0	155121.0	151694.0	216741.0	234588.0	189750.0	440215.0	455249.0	472047.0	27278.2	27720.9	26667.1	32346.0	35239.7	33718.6	213077.0	210996.0	222306.0	130203.0	136958.0	134755.0	53279.7	54095.9	57283.7	267580.0	276821.0	258317.0	25064.3	27327.4	27163.5	23751.1	23751.1	21959.0	17676.3	17897.1	16342.2	7685.09	7777.18	8195.78	257245.0	261015.0	236300.0	109545.0	101618.0	112788.0	58990.8	55507.6	63958.0	23244.8	27943.8	23663.5	193417.0	186704.0	186924.0	45546.9	46480.2	44188.7	122860.0	112613.0	119576.0	5837.31	7244.47	6688.93	117950.0	114223.0	121153.0	5036.46	4928.2	4718.14	1910.04	1978.08	1708.49	42990.5	45039.2	45077.0
206763	MAOA	49080.9	50947.7	50508.9	122860.0	124503.0	117595.0	128760.0	143018.0	137754.0	4634.77	4359.73	3744.19	15205.5	14294.9	13295.0	6514.59	5990.99	4988.69	92184.8	92083.2	78434.6	20380.3	17212.0	19622.0	58881.2	58356.7	58673.4	8907.13	8656.28	8198.99	22519.6	21407.5	21200.0	44277.1	43311.9	44188.7	17007.0	16679.8	16577.6	158268.0	167087.0	148093.0	46360.0	46854.5	47361.8	18127.8	18173.3	16023.9	12020.8	12545.5	13085.1	65065.1	68039.8	70005.1	7596.04	7527.15	7704.16	18817.4	18833.7	19967.7	54222.8	72066.9	63721.2	27927.6	27171.8	26709.0	206905.0	201512.0	175393.0	93406.2	84608.8	93915.5	111752.0	114589.0	112525.0	134870.0	126165.0	136155.0	53458.6	55403.1	55426.0	3099.74	1725.32	2992.04	26675.1	24799.7	27702.0	2563.54	2650.5	2631.0	139.894	261.885	487.294	17163.6	16917.5	15686.3
152511	SLC7A5	5816.97	5925.12	7867.48	1448.88	1278.92	1130.79	1974.46	7845.42	490.893	2875.84	3135.25	3060.14	2281.05	2883.87	2726.71	1556.27	2645.74	2733.24	494.444	1329.54	828.409	1681.94	3404.28	3298.42	1761.22	1251.63	1831.37	2250.42	2096.1	2961.49	1808.47	1989.42	1489.64	2001.64	2000.54	2263.85	1641.19	2049.05	1008.8	1828.36	1444.38	1803.43	1267.81	2147.83	1964.69	800.882	821.837	1812.56	2215.21	1180.26	1608.42	2805.8	1382.43	3609.4	525.607	307.559	887.88	1466.08	1648.78	899.525	1096.47	1010.2	1207.44	1405.73	552.877	3360.17	3833.93	4145.43	3171.8	3200.47	1211.41	1144.24	2030.41	3496.78	2365.78	1740.07	1963.33	1207.23	802.727	1277.45	2132.22	2259.92	2414.25	768.654	3529.83	2904.58	1074.27	2781.56	2820.72	3366.89	3006.01	2462.32	2646.17	3387.18	3382.79	3782.41
181258	KMO	3956.31	3260.06	3876.96	996.43	1801.0	1653.79	9062.75	9859.76	9825.11	1980.53	394.26	297.583	625.765	735.308	319.114	183.607	258.176	233.259	350.431	117.429	515.597	395.798	384.612	358.535	290.029	346.117	411.868	369.129	240.782	266.7	1123.39	1021.03	885.006	622.693	279.338	323.021	628.88	348.252	1057.81	226.568	641.182	306.81	213.132	507.351	1066.56	392.769	565.207	338.273	361.862	258.342	288.59	447.814	4827.38	1611.19	342.648	414.486	613.22	810.143	707.149	668.86	20315.3	20733.2	16891.7	3262.44	3300.75	2790.51	2697.91	3393.18	4201.47	614.389	173.602	213.664	347.819	259.598	379.774	292.326	346.516	381.818	720.854	962.444	744.14	4823.96	5120.07	4749.67	876.093	267.906	575.441	1112.67	1117.38	406.521	2104.28	2825.06	2672.52	345.588	489.538	357.235
