Parameter	GeneSymbol
AADAT_E_T_kat1	CCBL1
AADAT_E_T_kat2	AADAT
AADAT_E_T_kat3	CCBL2
AADAT_E_T_kat4	GOT2
AANAT_E_T	AANAT
AFMID_E_T	AFMID
DDC_E_T	DDC
IDO_E_T	INDO
IDO2_E_T	INDOL1
IMNT_E_T	INMT
Transporter_E_T_Slc7a8	SLC7A8
KYNU_E_T	KYNU
Transporter_E_T_Slc7a5	SLC7A5
MAOA_E_T	MAOA
MAOB_E_T	MAOB
R01814_Tph2	TPH2
R01814_Tph1	TPH1
R00677	IL4I1
R03664	WARS
R03664	WARS2
R02701	DDC
R02702	INDO
R04911	AFMID
R04909	DDC
R04908_Maoa	MAOA
R04908_Maob	MAOB
R00685	DDC
R02174	INMT
R02173_Maoa	MAOA
R02173_Maob	MAOB
R02678	ALDH2
R00678_Tdo	TDO2
R00678_Indo	INDO
R01959	AFMID
R03936	KYNU
R00988	AFMID
R01956_Kat1	CCBL1
R01956_Kat2	AADAT
R01956_Kat3	CCBL2
R04171_Kat1	CCBL1
R04171_Kat2	AADAT
R04171_Kat3	CCBL2
R00987	KYNU
R01960	KMO
R02668	KYNU
R02670	CAT
R02665	HAAO
R04323	ACMSD
R03348	QPRT
R03005	NMNAT1
R02908_Maoa	MAOA
R02908_Maob	MAOB
R02911	AANAT
R02909	INDO
R02910	INMT
R02174_metTrypta	INMT
AANAT_Trypta	AANAT
TRPtrans_Slc7a5	SLC7A5
TRPtrans_Slc7a8	SLC7A8
Lkynr_trans_Slc7a5	SLC7A5
Lkynr_trans_Slc7a8	SLC7A
