Sample	GSM194462-tbl-1.txt	GSM194463-tbl-1.txt	GSM194464-tbl-1.txt	GSM194465-tbl-1.txt	GSM194466-tbl-1.txt	GSM194467-tbl-1.txt	GSM194471-tbl-1.txt	GSM194472-tbl-1.txt	GSM194473-tbl-1.txt	GSM194477-tbl-1.txt	GSM194478-tbl-1.txt	GSM194479-tbl-1.txt	GSM194483-tbl-1.txt	GSM194484-tbl-1.txt	GSM194485-tbl-1.txt	GSM194525-tbl-1.txt	GSM194526-tbl-1.txt	GSM194527-tbl-1.txt	GSM194540-tbl-1.txt	GSM194541-tbl-1.txt	GSM194542-tbl-1.txt	GSM194519-tbl-1.txt	GSM194520-tbl-1.txt	GSM194521-tbl-1.txt	GSM194534-tbl-1.txt	GSM194535-tbl-1.txt	GSM194536-tbl-1.txt	GSM194504-tbl-1.txt	GSM194505-tbl-1.txt	GSM194506-tbl-1.txt
141122	3580.68125	3168.281771	3770.205313	9884.615521	9512.783438	9459.975833	8043.537604	8999.073542	8496.167917	6366.298438	8040.235417	8569.2575	8503.200104	9066.306354	7122.462604	4788.465313	4680.217813	5045.024583	5159.251979	3724.355625	4937.473646	5546.925	4808.240417	6158.729375	1504.850833	1557.575833	1723.924583	5251.553542	5077.734792	5489.464583
184507	2310.398125	1545.224167	1440.838438	8347.765	7166.2375	7792.481563	4867.212604	4633.992292	3875.590625	6303.543229	5953.762292	5007.800833	1469.294167	2071.656458	1134.176979	1603.329844	935.453125	820.7136458	1622.767396	1036.538125	711.3139063	2771.484688	3299.544375	2593.969583	2186.931042	1787.678646	2530.075833	3547.863646	3509.931146	4034.220625
125139	6661.311875	5898.392292	5792.486354	15628.96958	16342.22281	15678.48646	8535.405833	8393.747604	9435.562083	7220.710625	7018.091042	7813.0875	4941.434479	4721.173229	5227.889271	6565.64875	6755.232917	6337.82125	8294.576563	9116.704896	8775.728229	16522.81031	16077.79615	15021.07333	9448.213854	7758.058646	10389.74885	11830.00563	10908.09771	11800.47708
164561	3257.601667	3343.336875	3067.596771	4107.005104	2575.113021	2789.603021	7317.241667	7741.75	6848.900729	3931.772708	4014.949063	4094.313125	5918.888958	5305.06125	5720.680104	4135.713854	4291.390313	3743.6475	2795.524583	3703.626042	2803.165208	3914.261458	3940.776979	3392.633333	5343.336875	5627.572604	3663.407708	3902.023958	2889.130104	3828.370729
203613	1987.412813	2811.166563	2916.409063	15853.68823	16366.64771	15912.34313	5920.080313	5442.463125	4818.862292	2533.826563	2781.046563	3081.661042	4012.728854	4221.727708	3312.44375	3234.669688	1089.852813	1927.874792	1140.152813	2227.929583	2509.776146	6043.286354	7052.184271	7300.844583	1808.184792	2887.525729	2663.94625	3343.932083	4265.466875	4490.888958
140953	975.5908333	321.0617708	967.2986458	37929.26479	33307.41958	36263.54135	435.6036458	337.50875	1020.862813	438.8471875	511.4984375	763.1409375	351.9458333	319.7740104	774.4653125	380.1953125	148.2645833	571.7936458	281.6098958	353.8941667	457.6798958	161464.8236	162676.554	139644.3646	40195.34854	39923.73615	34556.78542	406.2567708	607.9340104	1237.527604
164074	243001.6063	266805.4923	254185.2299	285.39125	453.8763542	686.6247917	394.5513542	368.0209375	132.4538542	2302.110625	3536.324583	4580.079375	5899.690521	4258.187708	3274.198438	127367.1568	118148.3709	125015.4552	41041.37469	39015.6575	38102.00219	5389.857708	4557.632917	7849.943229	8834.987813	9019.752604	9835.363333	1748.965	2531.354167	3039.6525
138065	21975.18875	24755.41865	24842.52979	4384.018438	4050.853646	4213.795208	1700.008125	1394.044792	1883.505417	3443.8975	1971.061979	3330.680833	6466.30125	5878.166979	4071.682292	4959.604271	4225.976979	5858.723333	2894.740208	2682.54875	1803.42875	1054.853542	1840.400417	3163.699271	2692.730521	2567.159896	6572.080521	4883.461771	2388.832292	2015.924688
182141	8270.603854	5977.034063	5264.695521	2479.943958	1966.752083	2241.445625	20755.7626	3838.154583	3799.592708	10425.23479	10499.57208	9830.890208	1432.215	2406.352396	522.9589583	22215.395	21945.11479	22011.27125	4340.708333	7537.739271	5766.395729	22215.395	20939.30281	17588.52813	2377.583854	4001.466042	1482.636667	8191.381667	7929.465938	6514.588229
207186	10878.89625	10470.3451	9693.620833	61390.9774	56874.77406	54474.88156	666.7591667	1347.335729	1346.763125	1089.651771	1505.869271	2718.409688	232.1560417	493.3436458	962.9115625	17995.17708	18178.17542	18198.68615	6821.832031	9146.817708	9297.916458	10583.43781	2894.218229	10177.66281	289.7895833	592.0863542	1549.871563	765.0380208	918.8713542	790.5246875
