GeneSymbol	Kidney	Brain	Liver
MAOB	256562.53125	226447.453125	294114.875
MAOA	63416.1796875	14212.716796875	137204.8125
HAAO	3009.4167480469	1061.3944091797	10308.4443359375
CCBL2	15984.5771484375	8482.44921875	15588.2099609375
CCBL1	5511.9326171875	8443.5712890625	9455.1357421875
INMT	1828.4260253906	1689.0286865234	4186.5874023438
INDO	5355.7973632813	368.3154602051	453.4833679199
NMNAT1	6509.5004882813	2883.6987304688	4658.6547851563
IL4I1	1684.1544189453	2015.6848144531	2046.7414550781
QPRT	47393.6171875	9067.8046875	138709.140625
TPH2	307.6164245605	313.2315673828	235.1280059814
TPH1	565.0736083984	336.4864196777	503.140625
KMO	20202.40625	623.7874755859	9766.1787109375
ACMSD	61008.7734375	516.9818725586	48858.17578125
SLC7A8	20823.65625	3813.2016601563	2226.3728027344
SLC7A5	1090.3988037109	2708.4135742188	1961.5135498047
DDC	160856.34375	435.4161987305	36074.9140625
AFMID	7007.8232421875	5408.1069335938	15820.2158203125
TDO2	1046.8522949219	3092.4221191406	943912.25
AANAT	3888.8591308594	7271.5747070313	2770.9680175781
KYNU	10117.322265625	1338.39453125	56601.7578125
AADAT	2752.9321289063	4604.3881835938	7744.3154296875
WARS	23088.775390625	18644.697265625	15961.4814453125

