M_3hanthrn_c	M_3HAA
M_hLkynr_c	M_3HKyn
M_5hoxindact_c	M_5HAc
M_5hoxnfkyn_c	M_5HFKyn
M_5hxkyn_c	M_5HKyn
M_5htrp_c	M_5HTrp
M_anth_c	M_AA
M_ahcys_c	M_AHCys
M_amp_c	M_AMP
M_amet_c	M_AMet
M_atp_c	M_ATP
M_accoa_c	M_AcetylCoA
M_cmusa_c	M_Acms
M_am6sa_c	M_Am6sa
M_co2_c	M_CO2
M_Cinnavalininate_c	M_Cin
M_coa_c	M_CoA
M_dhbpt_c	M_Dhbpt
M_f5hoxkyn_c	M_F5HKyn
M_nformanth_c	M_FAA
M_Lfmkynr_c	M_FKyn
M_for_c	M_Formate
M_h_c	M_H
M_h2o_c	M_H2O
M_h2o2_c	M_H2O2
M_id3acald_c	M_IndolAc
M_indpyr_c	M_IndolP
M_akg_c	M_Ketoglutarate
M_kynate_c	M_Kyna
M_Lkynr_c	M_L-Kyn
M_glu_DASH_L_c	M_LGlu
M_Lkynr_ex	M_LKyn_ex
M_ala_DASH_L_c	M_L_ALA
M_nndmtrpta_c	M_MMTrypta
M_nmtrpta_c	M_MTrypta
M_dnad_c	M_NAAD
M_nadp_c	M_NADP
M_nadph_c	M_NADPH
M_Nacsertn_c	M_NAcSet
M_nh4_c	M_NH4
M_nmsrtn_c	M_NMSer
M_nicrnt_c	M_NaMN
M_Nactrypta_c	M_Nactrypta
M_o2_c	M_O2
M_o2s_c	M_O2s
M_ppi_c	M_PPi
M_prpp_c	M_PRPP
M_quln_c	M_Quin
M_srtn_c	M_Serotonin
M_thbpt	M_Thbpt
M_trp_DASH_L_c	M_Trp
M_trp_L_trna_c	M_Trp_tRNA
M_trypta_c	M_Trypta
M_Xanthurenate	M_Xanth
M_trna_trp_c	M_tRNA
TRP_ex	Trp_ex
